"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.2",,,,,,
,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
Reviewer ORCID(s):,,,,,,
General Publication(s):,"Börner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. “Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas.” Nature Cell Biology 23 (11): 1117–28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,
Data DOI:,https://doi.org/10.48539/HBM858.DNFV.736,,,,,
Date:,5/6/2022,,,,,
Version Number:,v1.2,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_amygdaloid_area_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_central_nuclear_group_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basolateral_nucleus_basal_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basomedial_nucleus_accessory_basal_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_cortical_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_cortical_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_amygdalohippocampal_area_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_bed_nucleus_of_stria_terminalis_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_nuclear_complex_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_dorsal_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_mediodorsal_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_posterior_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pulvinar_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_anterior_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_lateral_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_posterior_lateral_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_posterior_medial_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_dorsal_lateral_geniculate_nucleus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_geniculate_nuclei_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_centromedian_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_parafascicular_nucleus_of_thalamus_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_habenular_nuclei_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pineal_body_L,pineal body,UBERON:0001905,http://purl.obolibrary.org/obo/UBERON_0001905,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_zona_incerta_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supraoptic_region_of_HTH_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_preoptic_region_of_HTH_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_tuberal_region_of_HTH_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_white_matter_of_forebrain_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_commissure_L,anterior commissure,UBERON:0000935,http://purl.obolibrary.org/obo/UBERON_0000935,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_corpus_callosum_L,corpus callosum,UBERON:0002336,http://purl.obolibrary.org/obo/UBERON_0002336,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_fornix_L,fornix of brain,UBERON:0000052,http://purl.obolibrary.org/obo/UBERON_0000052,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_mammillothalamic_tract_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_optic_tract_L,optic tract,UBERON:0001908,http://purl.obolibrary.org/obo/UBERON_0001908,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_horn_of_lateral_ventricle_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_lateral_ventricle_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_horn_of_lateral_ventricle_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_horn_of_lateral_ventricle_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_third_ventricle_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebellar_vermis_L,cerebellar vermis,UBERON:0004720,http://purl.obolibrary.org/obo/UBERON_0004720,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebellar_deep_nuclei_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_white_matter_of_hindbrain_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_olfactory_tract_L,-,-,-,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_precentral_gyrus_L,precentral gyrus,UBERON:0002703,http://purl.obolibrary.org/obo/UBERON_0002703,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_frontal_gyrus_L,superior frontal gyrus,UBERON:0002661,http://purl.obolibrary.org/obo/UBERON_0002661,Allen_F_Brain
